"date","time","bird","sex","tagged","inc_brood","walk","feed","fly","cos_time","sin_time"
2022-02-25,08:24:00.000000,"RR/OY","M","N",0,1,1,0,5.90225282732808,2.15449046566819
2022-02-25,08:32:00.000000,"RR/WW","M","N",0,1,0,0,5.89019241350869,2.18724734225511
2022-04-02,09:01:00.000000,"RR/WW","M","N",0,1,1,0,5.84495224318971,2.30541772336143
2022-04-02,08:08:00.000000,"RR/YY","F","Y",0,1,0,1,5.92582678486946,2.08877823621395
2022-04-02,09:16:00.000000,"RR/GO","M","N",0,0,0,0,5.82062080344372,2.36617646570909
2022-04-08,08:57:00.000000,"RR/GO","M","N",0,1,1,0,5.85133362311907,2.28917287143494
2022-04-08,15:00:00.000000,"RR/YG","M","N",0,0,0,1,5.09543155713971,3.67627458861036
2022-04-14,09:13:00.000000,"RR/WR","F","N",0,1,1,0,5.82553770263037,2.35404504621079
2022-04-14,09:13:00.000000,"RR/BG","F","N",0,1,0,0,5.82553770263037,2.35404504621079
2022-04-14,09:52:00.000000,"RR/GO","M","N",0,1,1,0,5.75965370425993,2.51093743676784
2022-05-07,09:57:00.000000,"RR/BG","F","N",0,1,1,0,5.75090046891247,2.53092105784036
2022-05-07,09:36:00.000000,"RR/WR","F","N",0,1,1,0,5.78719690453515,2.44678760673994
2022-05-07,09:54:00.000000,"RR/GO","M","N",0,0,1,0,5.75616073705387,2.5189345314154
2022-05-19,10:04:00.000000,"RR/GO","M","N",0,1,1,1,5.73852948098232,2.55884681062666
2022-05-19,10:31:00.000000,"RY/LY","F","Y",0,1,0,0,5.68954521813356,2.66598814985568
2022-05-19,10:56:00.000000,"RR/WW","M","N",0,1,1,0,5.64240561050116,2.76435824938493
2021-12-21,06:32:00.000000,"RR/WW","M","N",0,1,0,0,6.05181191319571,1.68937567511193
2021-11-06,12:35:00.000000,"RW/BG","M","Y",0,1,0,1,5.43917631907384,3.1454377397087
2021-11-06,12:10:00.000000,"RL/YL","F","Y",0,1,0,0,5.49296218445008,3.0505383204541
2022-03-13,NA,"RB/RL","F","Y",0,0,0,0,NA,NA
2022-03-14,NA,"RB/RL","F","Y",0,0,0,0,NA,NA
2022-06-11,09:59:00.000000,"RR/YY","F","Y",0,1,1,1,5.7473797551286,2.53890597594619
2021-10-12,06:37:00.000000,"RW/BG","M","Y",1,1,0,0,6.04590955594623,1.71037868487523
2021-10-12,06:49:00.000000,"RW/LB","F","Y",1,1,0,0,6.03144663900516,1.76070129357333
2021-11-09,19:49:00.000000,"RW/BY","F","Y",1,1,1,0,4.26029305937855,4.61825948302695
2021-10-18,07:50:00.000000,"RR/BW","M","N",0,1,1,0,5.95147288369708,2.01454414669319
2021-11-02,07:44:00.000000,"RR/BW","M","N",0,1,1,0,5.95981513133739,1.98972892742688
2021-10-18,07:28:00.000000,"RR/BR","M","Y",0,1,0,0,5.98155488959661,1.9233873003377
2021-11-02,07:15:00.000000,"RR/BR","M","Y",0,1,0,0,5.9986748178496,1.8693095072926
2021-10-27,08:10:00.000000,"RR/GY","M","N",1,1,0,0,5.92291998942294,2.0970065339077
2022-01-03,09:47:00.000000,"RR/RG","M","Y",0,1,0,0,5.76833749940777,2.49092354304252
2021-10-18,08:05:00.000000,"RW/LB","F","Y",1,1,0,0,5.93016554318453,2.0764282397387
2021-10-27,08:50:00.000000,"RW/LB","F","Y",0,1,0,0,5.862392368429,2.26070195358497
2021-10-27,08:20:00.000000,"RW/OO","F","N",0,0,1,0,5.90821474434718,2.13808702793783
2021-12-12,14:42:00.000000,"RB/BR","M","Y",0,1,1,0,5.14098571739563,3.61229614758972
2021-11-08,07:27:00.000000,"RR/BR","M","Y",1,1,1,0,5.98288913280289,1.91923297932964
2022-02-18,08:51:00.000000,"RR/BR","M","Y",0,1,0,0,5.86082102306462,2.26477251395393
2021-11-19,07:37:00.000000,"RR/BR","M","Y",0,1,0,0,5.96941697036853,1.96073420897214
2021-12-20,07:08:00.000000,"RR/BR","M","Y",0,1,0,0,6.00769082787087,1.84012731110476
2021-11-22,07:45:00.000000,"RR/BR","M","Y",0,1,0,0,5.95843193817929,1.99386720782565
2021-11-22,08:02:00.000000,"RR/WB","F","N",0,1,0,0,5.93447856294318,2.06406923099135
2021-11-15,08:05:00.000000,"RR/WB","F","N",0,1,0,0,5.93016554318453,2.0764282397387
2021-11-29,08:02:00.000000,"RR/WB","F","N",0,1,0,0,5.93447856294318,2.06406923099135
2022-01-10,07:06:00.000000,"RR/WB","F","N",0,1,1,0,6.01024076497178,1.8317815239348
2022-01-10,06:57:00.000000,"RR/GY","M","N",0,1,1,0,6.02157193782831,1.79418198684414
2021-11-15,08:20:00.000000,"RR/OR","M","N",1,1,1,0,5.90821474434718,2.13808702793783
2021-11-22,08:41:00.000000,"RR/OR","M","N",1,1,1,0,5.87640716417266,2.22401808563188
2021-11-29,08:18:00.000000,"RR/OR","M","N",0,1,1,0,5.91117861020036,2.12987911456663
2021-12-20,07:58:00.000000,"RR/OR","M","N",0,0,0,0,5.94018918586136,2.04757662629098
2021-01-03,09:46:00.000000,"RR/RG","M","Y",0,1,0,0,5.77006591638552,2.48691715280658
2021-11-08,08:22:00.000000,"RR/OY","M","N",1,1,0,0,5.90523948147665,2.14629081691341
2021-11-15,08:46:00.000000,"RR/OY","M","N",0,1,0,0,5.8686494707621,2.24440882944288
2021-11-13,08:28:00.000000,"RR/OY","M","N",0,1,0,0,5.89624536826398,2.17087727925441
2021-11-02,07:52:00.000000,"RR/OY","M","N",0,1,0,0,5.94866916638371,2.02280813555641
